sID	danger	order	coma_check_a	coma_check_na	complication_check_a	complication_check_na	danger_strength	justification_a	justification_na	preventive_strength	singular_query_a	singular_query_na	Attention_Confirmation	Age	Sex	Technical_issues	Duration (sek)
367	strong	attack_first	1	1	2	1	11	Well even though the thinner seemed effective, there could be other factors that could of played a role in the effectiveness of the treatment, for instance the age of the patient (is the blood thinner going to be more effective if you are younger or older), also we don't know if the patient had any underlying blood conditions. There is also the chance that the thinner was not the treatment that worked but perhaps the bodies coping mechanisms were very effective in compensating for the artery being blocked.	He didn't fall into the comma perhaps due to the skill and experience of the surgeon avoiding blocking the artery that leads to the comma and this success had nothing to do with the use of the thinner. The other possibility is that maybe the complication did occur in this patient but the person monitoring/observing for this complication missed it.	11	9	2	1	25	1	-99	1148
375	strong	attack_first	1	1	2	1	5	The study shows that all the patients who received the blood thinners before surgery didn't lapse into a coma. This leads me to believe that the reason patient number 53 didn't lapse into a coma is because of the blood thinners. but on the other hand, looking at a single patient's results in the study doesn't convince me 100% that the outcome is a result of the blood thinners.	this patient could be a lucky one who happened to not lapse into a come. again, on the other hand, looking at the bigger picture, the study does show that patients who received blood thinners prior to the surgery didn't lapse into a coma and that leads me to believe that is because of the blood thinners.	11	9	7	1	23	2	-99	1056
380	strong	attack_first	1	1	2	1	4	I feel the blood thinner has made a difference in preventing the patient slipping into a coma	It seems as there were no complications during surgery there were no reason for the patient to slip into a coma	9	9	2	1	32	2	-99	874
391	strong	attack_first	1	1	2	1	9	Because one of the patients who received the blood thinner had the complication during the surgery and lapsed into a coma	More patients who received the thinner did not go into a coma	7	10	10	1	30	1	None	630
393	strong	attack_first	1	1	2	1	11	The findings show that with the blood thinner he had the complication but did not go into a coma	He has no complications so would not be sure whether or not it affected him	11	11	6	1	32	1	n/a	1223
421	strong	attack_first	1	1	2	1	11	In clinic B the coma rate for complications is 100%. In clinic A it is 0%. The only difference is the blood thinner.	There was no complication, therefore he would of been fine if no blood thinner	11	11	1	1	18	1	-99	523
431	strong	attack_first	1	1	2	1	10	Results are very encouraging but never possible to be 100% sure	Complication did not occur but could easily of done	10	10	9	1	35	2	none	389
440	strong	attack_first	1	1	2	1	11	For every single complication in the batch that took the blood thinner, the coma was avoided.	There has not been any case of patients going into a coma without a complication in either batches	10	11	1	1	24	1	-99	433
444	strong	attack_first	1	1	2	1	11	Because he or she was in the blood thinner category. In the placebo category ALL those with complications fell into comas	Hard to say, as even those on placebo did not fall into comas when there were no complications.	11	11	6	1	63	2	None to speak of, though did get confused in beginning.	532
445	strong	attack_first	1	1	2	1	4	Because the complication happened and presumably the blocked artery complication, but was averted by the blood thinner. To be 100% certain I would want to know what the complication was though.	They could just not have had a complication as with the previous patients. However, the thinner seems to be working.	11	9	6	1	55	2	-99	747
461	strong	attack_first	1	1	2	1	4	Well we can see that between the two results that more people who experienced the complication on placebo fell into the coma but that none who experience the complication fell into a coma on the blood thinners. the only variable is indeed the thinners, so i believe it must be that that prevented it	Well, i can't say for certain if it was the blood thinner that prevented the complication or sheer luck or coincidence, ergo it edges closer toa  50/50 feeling, but i still believe when comparing the two it seems the blood thinners work well in preventing comas	11	11	8	1	22	3	-99	309
466	strong	attack_first	1	1	2	1	6	as every patient who took the blood thinner did not go into a coma	as the complication did not actually occur so we cant tell if it was due to the blood thinner	10	10	6	1	18	1	-99	554
475	strong	attack_first	1	1	2	1	11	It makes sense that I indicated this level of confidence because none of the patients who received the blood thinner and who had a complication went into a coma. If the patient was given the placebo and they had a complication, all of them went into a coma.	This patient didn't have any complications but if they'd had one they wouldn't have fallen into a coma.	11	11	9	1	25	2	-99	775
