sID	Prevention_Type	First_arrival	justification	selection	Laptop_Confirmation	Attention_Confirmation	Age	Sex	Technical_issues	Duration (sek)
68	hinder	left_first	the left male turned green in front of the female then the right male also did, one male would of been enough but they both did it and the female didnt turn purple in front or a rival male	3	1	1	26	2	-99	898
74	hinder	left_first	Because the left squid already shon green the female was hypnotised and could not turn purple thus she was unable to turn purple and attract and flirt with other squid	1	1	1	40	2	Not applicable	528
78	hinder	left_first	The left male arrived first and since one male is enough to hypnotise the female, the left male must of been hypnotizing her.	1	1	1	20	2	-99	439
85	hinder	left_first	Both males were beside her as the other male appraoched. They stopped her from being attracted to teh extra male.	3	1	1	30	2	none	267
86	hinder	left_first	The female remained in her dull brown colour when the first left male arrived. She would have gone purple colour if the male hadn't had the effect when he turned green.	1	1	1	55	2	-99	679
90	hinder	left_first	The left male swam in front of the females eye and was green, shortly after the right male squid came down to the females other eye and shone green. Another male swim down to the female but because of the males in front of her eyes were green she didn't try and attract the other male. She stayed her usual brown colour.	3	1	1	31	2	-99	607
93	hinder	left_first	I could see both males turning green and hypnotising the female so she would not turn purple to attract the new male.	3	1	1	58	2	-99	354
96	hinder	left_first	The left male first swam in front of the female's eye and turned green, followed by the right male. The rival male arrived only after both males had hypnotised the female.	3	1	1	26	1	-99	300
100	hinder	left_first	The left male was the first to go in front of the female's eye and turn green to prevent her from shining purple and attracting other males.	1	1	1	43	2	-99	414
104	hinder	left_first	Both males were actively preventing their female mate from turning purple. The second male squid to turn green, while not initially preventing her color change, equally contributed to the success of the defense. By having a redundancy defense mechanism in place, if the left male squid were to be captured or otherwise moved from the females view, the right male would prevent the female from changing colors.	3	1	1	33	1	-99	417
109	hinder	left_first	The left male arrived first and turned green.  We know that one male alone is powerful enough to hypnotise the female, so although the second male did arrive and turn green, that was not required - the female was already hypnotised and so didn't turn purple when the rival male arrived	1	1	1	62	2	-99	316
116	hinder	left_first	The first male on the left was enough to stop her trying to attract the other male.  However both were in her eye turning green so they both deserve credit even if the right male was later than the left male.	3	1	1	50	1	no	513
120	hinder	left_first	I saw the two males come and change color to prevent the female from changing colors. the rival male arrived but left since it was not attracted to the female's color	3	1	1	24	1	-99	362
126	hinder	left_first	The left male shone green in front of the female, then the right male also arrived and shone green in front of the female. Either would have stopped her attracting the third male who arrived, and both working together just reinforced it.	3	1	1	58	2	-99	487
132	hinder	left_first	I selected the left male as being the one that prevented the female from shining her purple colour as the left male reached her first and it is known that only one male is required to stop the purple shining ritual	1	1	1	31	2	-99	1465
133	hinder	left_first	The left male turned green first, which kept the female in her brown colour.	1	1	1	18	2	-99	315
135	hinder	left_first	both of the males went in front of the female squid and turned green. A new male squid approaches the female but she does not turn purple	3	1	1	51	2	-99	412
138	hinder	left_first	both males were green and in front of the female squids eyes - this prevented her from turning purple and attracting the mate.	3	1	1	32	2	no technical issues	376
141	hinder	left_first	If a singular male is powerful enough on its own to hypnotise the female, then the left male (who hypnotised first) is stopping the female from changing colour to attract the new male. The right male (who hypnotised second) is only there as additional hypnotising power.	1	1	1	24	3	-99	341
151	hinder	left_first	I gave this rating because the squid on the left moved first and became green before the other and therefore his pull was string enough.	1	1	1	26	2	-99	310
153	hinder	left_first	Both the males were at the females eyes and had turned green. another rival male came towards the female but the female stayed the brown colour rather than turning purple because of the two green males already at her eyes	3	1	1	23	2	-99	449
159	hinder	left_first	The 2nd male of the triad didn't need to be next to her right eye in order to stop her shining purple. The left male being in the correct position was already enough to stop her turning purple	1	1	1	46	2	-99	302
162	hinder	left_first	The animation did not show up, just a blue square. Sorry.	3	1	1	49	1	There was no animation on the final screen, no continue button, just a blue squre.	246
163	hinder	left_first	both of the males turned green when the new brown male approached the female did not turn purple so the new male went away	3	1	1	26	2	-99	385
169	hinder	left_first	Well, the small males got to the large female before another male got there. They turned green, preventing the female from turning purple and attracting the alien male.	3	1	1	21	1	no	335
177	hinder	left_first	Impossible to know which had the effect, so selected both	3	1	1	54	1	-99	238
178	hinder	left_first	I actually think I got it wrong, it was in fact the first male that stopped her because as soon as that male went it would not be possible for her to change her color to purple regardless if the second male came or not.	3	1	1	19	1	-99	380
187	hinder	left_first	It is what the animation showed, only needs one mallet do this.	1	1	1	24	2	-99	410
189	hinder	left_first	I saw both males swim towards the female and turn green, thus explaining my judgement.	3	1	1	22	1	-99	261
192	hinder	left_first	The left male got in front of the females left eye and distracted her, the right male joined in trying to distract her although he wasn't really needed, but when a rival approached the female was distracted and did not turn purple to attract the rival male.	1	1	1	49	2	None occurred	874
206	hinder	left_first	Only the first green male squid was necessary to prevent the female from glowing purple, however, as there were two males already, there were no spots left for the third male and he left.	3	1	1	19	1	-99	262
209	hinder	left_first	Both of the female's male partners made her turn brown. A rival male came through however the female did not need to flash purple as she already had her triad with her.	3	1	1	30	2	-99	419
215	hinder	left_first	Both males weren't required to stop the female from shining purple. As the left male approached first and remained there the entire time, it was he who stopped the female from turning purple when the rival male arrived. If the left male left and the right male remained when the rival appeared, it would have been the right male stopping the female from shining purple when the rival appeared.	1	1	1	22	2	-99	463
216	hinder	left_first	The left male prevented the female from turning purple to attract the new male by shining green to hypnotize the female. Although the 2nd male also shone green, the first male turning green would have been sufficient in producing the same results.	1	1	1	38	2	-99	692
218	hinder	left_first	The left male went to the female first which would have prevented her from turning purple. The other male joined her, but his presence wasn't necessary to prevent her from turning purple. However, if the left male had moved away, the right male would have been the one that would have prevented her from turning purple.	3	1	1	25	2	-99	485
223	hinder	left_first	I say  Both  because that's who/what was present - two (both) males in front of the female's eyes. Could either one cause the female to remain brown by itself? Yes; but now that two green males are present right in front of the females' eyes when the other brown male comes toward the female, neither one alone can be solely attributed to have caused the female to stay brown.	3	1	1	29	1	Will contact after study submission	3006
228	hinder	left_first	I observed and reported	3	1	1	55	1	-99	394
238	hinder	left_first	The left male was the first to get close to the female and turn himself green so that was enough for the female to remain brown. The fact the right male also came close and turned green didn't have an impact as one close green male is enough to prevent her turning purple	1	1	1	34	1	-99	485
239	hinder	left_first	The left male came down and shone green, then the right male came down and also shone green. After a while, another male came down from above, and went in front of the female. Her colour didn't change due to her two males being green	3	1	1	37	1	None	1155
250	hinder	left_first	Even if one green male was enough for a female to not attract other males, both of them came to stop her from flirting with another male.	3	1	1	21	1	-99	429
67	stop	left_first	The left male shining green was enough to stop the female from flirting with her purple colour and she changed back to brown. The non-triad male then left	1	1	1	65	2	None	668
72	stop	left_first	Based on timing of events	1	1	1	34	1	-99	255
75	stop	left_first	I chose the Left Male shining green prevented the female from shining purple because she turned brown before the right male turned green.	1	1	1	22	2	-99	760
84	stop	left_first	I watched both the males approaching the female and noted that the one on the left turned green before the second was near to her	1	1	1	63	2	-99	300
88	stop	left_first	The female shines purple up until a little after the left male shows up and turns green, after which she turns brown again and the rival male leaves. The subsequent arrival of the right male and his turning green does not change the situation. The rival is already leaving because the female has already gone brown.	1	1	1	28	3	-99	355
91	stop	left_first	I looked 3 times at the video and i seen a new male in brown come down the middle and the female turned purple,then the left male went down to the females eye and when je turned green,the female went brown and the middle one went away.	1	1	1	51	1	-99	806
95	stop	left_first	The left male squid was first to arrive to thwart the new male, and after he turned green, the female turned from purple to brown. The female was already brown by the time the right male squid arrived shortly thereafter.	1	1	1	36	1	-99	357
97	stop	left_first	It is what I observed.	1	1	1	56	1	-99	349
101	stop	left_first	It was the left male that initially turned off the purple seduction.	1	1	1	20	2	n/a	243
106	stop	left_first	The female had turned purple and the rival male started to move away before the right male arrived	1	1	1	64	1	no	316
110	stop	left_first	The left male swam down and turned green, the rival male swam away before the right male turned green	1	1	1	20	2	None	1423
114	stop	left_first	Both males can stop her from being purple and attracting the new male. However, The left one came and blocked her eye by turning green first. So that is why i answered it was the left male who stopped her.	1	1	1	22	2	-99	409
118	stop	left_first	The shining green male squids prevent the female squid from turning into purple by hypnotising her using the flashing green colours.	3	1	1	21	1	No technical issues experienced.	927
128	stop	left_first	The left male squid was powerful enough to stop the female from showing purple when it turned green and thus the female turned brown again and stopped the rival male even before the right male squid reached the female.	1	1	1	32	2	-99	462
129	stop	left_first	When the rival male approached, the male squid on the left turned green to prevent the female from turning purple. This repelled the rival male.	1	1	1	30	3	N/A	342
130	stop	left_first	The Female attracted the rival male upon spotting it. One of the female's male came to hypnotise his female, so that it changed to its neutral color. The rival male then left.	1	1	1	24	1	-99	1003
139	stop	left_first	I wasn't making a judgment, that's just what happened in the video. The rival male was already leaving by the time the right male showed up.	1	1	1	26	1	-99	233
142	stop	left_first	the left male changed colour first, then the right did to, then the other male went away, when the left male did go down, she changed colour.	1	1	1	20	1	n/a	303
147	stop	left_first	The left male came down first and turned green, the female immediately turned brown before the right male was able to assist. This leads me to consider that the left male was the one that caused the female to turn brown.	1	1	1	32	1	None	803
154	stop	left_first	.	1	1	1	33	1	-99	254
158	stop	left_first	The female spotted the male, but before it could turn purple the left male came and turned green and then the right male followed and turned green	3	1	1	29	2	None	708
165	stop	left_first	the left male approached the female first and was able to shine his green colour and make her turn back to her unattractive brown colour. As per the descriptions given earlier one male is strong enough to make the female change back to brown and two males are not necessary so once the left male has turned green and made the female go back to brown the second male on the right that turned green was not necessary as the female had already turned brown and no longer was purple to attract the third male.	1	1	1	34	2	no	584
172	stop	left_first	I gave my rating that it was just the left squid as in the animation when a separate male squid came by the female squid turned purple, as she turned purple the left male squid swam over as he turned green and distracted her from the new male squid, then the male right squid started to swim over as he turned green.	1	1	1	24	2	-99	394
173	stop	left_first	Both males swam towards the females eyes to distract and make her lose her flirtatious and seductive purple color	3	1	1	35	1	-99	707
