"run_id"	"condition_1"	"desktop_conf"	"attent_conf"	"sat_selection_upper_demo"	"sat_selection_lower_demo"	"test_case"	"first_preventer"	"sat_selection_test"	"explanation"	"preventers_check"	"age"	"gender"	"recorded_at"	"demo_correct"	"prev_correct"	"main_dv"
1	2	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"lower"	"Both satellites prevented the asteroid from hitting the moon."	"Both satellites fired a laser"	"The lower satellite spotted the asteroid first."	22	"2: female"	2022-02-14 09:35:59	"correct"	"correct"	3
2	3	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"upper"	"Both satellites prevented the asteroid from hitting the moon."	"both satelittes acted and prevented the asteroid from hitting the moon, though the upper satellite acted faster"	"The upper satellite spotted the asteroid first."	27	"2: female"	2022-02-14 09:37:19	"correct"	"correct"	3
3	1	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"upper"	"Both satellites prevented the asteroid from hitting the moon."	"They both detected the asteroid, however the lower was slower but had it have gone off on it's own the moon would still have been protected"	"The upper satellite spotted the asteroid first."	31	"2: female"	2022-02-14 09:38:13	"correct"	"correct"	3
4	4	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"lower"	"The lower satellite prevented the asteroid from hitting the moon."	"Both satellites detected the incoming object but the lower satellite was the first to send a signal to the canon"	"The lower satellite spotted the asteroid first."	26	"1: male"	2022-02-14 09:38:31	"correct"	"correct"	2
5	3	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"upper"	"The upper satellite prevented the asteroid from hitting the moon."	"The lower satellite detection is slow therefore can result the steroid to destroy the moon. The early the detection the better. By the time the laser cannon release the beam it would have been late. The satellite are set to detect an steroid movement and the lower one failed to do so."	"The upper satellite spotted the asteroid first."	27	"2: female"	2022-02-14 09:39:00	"correct"	"correct"	1
7	1	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"upper"	"Both satellites prevented the asteroid from hitting the moon."	"The two satellites sent a signal."	"The upper satellite spotted the asteroid first."	20	"2: female"	2022-02-14 09:39:47	"correct"	"correct"	3
8	2	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"lower"	"Both satellites prevented the asteroid from hitting the moon."	"both satellites sent signals to the moon, albeit the lower was first and the primary signal, the upper was a second line of defence."	"The lower satellite spotted the asteroid first."	38	"1: male"	2022-02-14 09:40:14	"correct"	"correct"	3
9	4	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"lower"	"The lower satellite prevented the asteroid from hitting the moon."	"The lower satellite signal was faster the the upper satellite signal"	"The lower satellite spotted the asteroid first."	26	"2: female"	2022-02-14 09:41:47	"correct"	"correct"	2
10	1	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"both_on_time"	"upper"	"Both satellites prevented the asteroid from hitting the moon."	"Both satelites transmitted signal to the base station, even though was later then the other"	"The upper satellite spotted the asteroid first."	33	"1: male"	2022-02-14 09:50:32	"correct"	"correct"	3
11	3	"1: I confirm"	"1: I will take it seriously"	"The upper satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"The lower satellite detected an approaching asteroid and sent a signal to the cannon. The cannon then shot a laser beam that destroyed the asteroid."	"one_too_late"	"upper"	"The upper satellite prevented the asteroid from hitting the moon."	"The upper satellite detected the approaching asteroid and sent a signal to the moon. Immediately the cannon was shot and this was before the lower satellite sent the signal"	"The upper satellite spotted the asteroid first."	47	"2: female"	2022-02-14 09:53:32	"correct"	"correct"	1
